danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.497,0.29,4,1,0.0284,3.33e-05,0.134,93.128,-14.014,0.914,0.451,153862,0,honky-tonk
0.569,0.28,7,1,0.0249,1.47e-06,0.202,76.127,-12.913,0.852,0.373,152400,0,honky-tonk
0.45,0.171,10,1,0.0325,8.37e-06,0.0806,80.275,-17.192,0.637,0.206,167653,0,honky-tonk
0.54,0.189,7,1,0.0265,9.74e-05,0.217,77.366,-13.603,0.936,0.28,162850,0,honky-tonk
0.34,0.291,9,1,0.0296,0.0,0.216,145.213,-10.67,0.712,0.514,173946,0,honky-tonk
0.653,0.492,11,1,0.0274,7.06e-06,0.815,125.175,-8.913,0.599,0.613,155933,0,honky-tonk
0.69,0.39,0,1,0.0349,0.0,0.1,113.441,-8.573,0.679,0.645,166786,0,honky-tonk
0.618,0.342,0,1,0.0292,0.000451,0.104,108.177,-13.925,0.345,0.425,193373,0,honky-tonk
0.539,0.169,6,1,0.0293,0.00607,0.0996,98.697,-17.49,0.823,0.637,150973,0,honky-tonk
0.467,0.207,11,1,0.0333,0.0,0.0889,76.241,-16.134,0.868,0.433,165720,0,honky-tonk
0.676,0.549,6,1,0.0813,0.0,0.291,146.95,-8.04,0.876,0.937,167920,0,honky-tonk
0.598,0.593,9,1,0.0435,0.0,0.237,75.415,-6.538,0.667,0.897,148933,0,honky-tonk
0.542,0.645,9,1,0.035,0.0,0.294,62.899,-5.616,0.457,0.746,128091,0,honky-tonk
0.494,0.178,7,1,0.0281,0.0,0.168,87.371,-16.524,0.592,0.262,197533,0,honky-tonk
0.531,0.197,6,1,0.0269,0.0,0.0876,83.209,-15.302,0.838,0.235,232186,0,honky-tonk
0.53,0.196,10,1,0.0285,1.61e-06,0.0975,105.624,-16.187,0.797,0.583,170946,0,honky-tonk
0.546,0.518,3,1,0.0247,2.36e-05,0.0832,87.973,-5.385,0.574,0.475,220280,0,honky-tonk
0.537,0.306,0,1,0.0295,0.000251,0.294,93.46,-15.521,0.837,0.575,159840,0,honky-tonk
0.543,0.52,1,0,0.0707,8.03e-06,0.111,167.83,-9.726,0.878,0.905,147346,0,honky-tonk
