danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.16,0.993,8,1,0.332,0.629,0.341,167.903,-4.662,4.98e-05,0.256,228933,0,grindcore
0.33,0.99,2,0,0.0779,0.0055,0.136,119.014,-2.484,1.6e-06,0.0712,252400,0,grindcore
0.512,0.953,0,1,0.0846,0.649,0.136,119.984,-5.724,2.78e-05,0.442,318746,0,iranian
0.347,0.979,7,1,0.0688,0.00186,0.19,199.901,-3.828,2.61e-05,0.467,118266,0,power-pop
0.364,0.977,4,1,0.0908,0.0,0.413,148.944,-7.351,0.313,0.385,197373,0,power-pop
0.578,0.734,7,1,0.0306,0.000103,0.1,118.503,-10.207,0.000182,0.943,183693,0,power-pop
0.69,0.39,0,1,0.0349,0.0,0.1,113.441,-8.573,0.679,0.645,166786,0,honky-tonk
0.275,0.949,9,1,0.0953,0.013,0.304,75.841,-7.404,0.00139,0.421,534933,0,death-metal
0.461,0.933,9,1,0.0447,0.0447,0.13,139.982,-8.366,4.05e-06,0.12,221007,0,death-metal
0.489,0.998,10,0,0.111,0.00783,0.225,174.957,-1.725,0.0077,0.678,272952,0,happy
0.593,0.749,0,0,0.383,0.0,0.0727,119.101,-4.653,0.0814,0.597,167444,0,j-dance
0.878,0.607,1,1,0.0692,2.11e-06,0.518,96.061,-7.253,0.376,0.926,109818,0,kids
0.324,0.0655,10,0,0.11,0.0,0.964,180.082,-17.031,0.874,0.471,164666,0,bluegrass
0.306,0.826,2,1,0.0642,0.96,0.0697,102.706,-9.074,1.67e-06,0.431,83906,0,grindcore
0.579,0.976,11,0,0.0908,0.0526,0.959,149.951,-4.063,0.00872,0.0558,257152,0,hardstyle
0.582,0.999,0,1,0.067,0.277,0.824,144.983,-6.175,0.0119,0.156,254226,0,happy
0.565,0.632,11,1,0.0305,0.458,0.0842,118.658,-7.209,0.56,0.658,281880,0,bluegrass
0.383,0.951,0,1,0.104,0.0,0.261,110.584,-3.743,0.00607,0.668,206826,0,industrial
0.503,0.0205,7,0,0.285,0.0,0.0961,76.482,-28.123,0.845,0.0394,167533,0,show-tunes
0.295,0.841,2,1,0.0414,0.0301,0.0586,152.145,-6.161,3.98e-05,0.676,145186,0,power-pop
0.7,0.729,9,0,0.0878,0.00209,0.0967,127.988,-10.157,0.436,0.735,222226,0,trip-hop
0.536,0.307,7,1,0.031,0.0,0.337,120.991,-12.155,0.494,0.614,148533,0,honky-tonk
0.415,0.929,1,1,0.0951,0.909,0.218,120.024,-5.533,3.54e-06,0.311,289333,0,iranian
0.569,0.28,7,1,0.0249,1.47e-06,0.202,76.127,-12.913,0.852,0.373,152400,0,honky-tonk
0.449,0.913,11,0,0.0578,0.0,0.132,180.016,-6.399,8.15e-05,0.457,297668,0,industrial
0.502,0.799,1,1,0.316,0.0,0.325,168.611,-6.498,0.133,0.779,204546,0,j-dance
0.685,0.886,9,1,0.0323,0.0,0.0362,116.222,-10.653,0.0328,0.819,178506,0,rock
0.452,0.883,2,1,0.0488,0.668,0.0605,140.145,-5.871,1.53e-05,0.39,351333,0,black-metal
0.221,0.992,1,0,0.195,0.000271,0.226,93.706,-4.172,9.71e-05,0.0739,170680,0,death-metal
0.501,0.965,9,0,0.213,0.0,0.8,132.013,-3.151,0.0331,0.711,203106,0,garage
0.233,0.964,7,0,0.0847,0.063,0.133,109.324,-8.144,2.1e-05,0.119,308847,0,black-metal
0.487,0.456,9,1,0.0349,0.00962,0.119,118.035,-7.037,0.00663,0.037,415933,0,black-metal
0.456,0.314,9,0,0.0399,0.874,0.0804,105.918,-11.722,0.468,0.167,324573,0,idm
0.653,0.667,10,0,0.0423,0.0,0.107,104.181,-6.764,0.154,0.556,213869,0,dance
0.582,0.705,3,1,0.0539,1.38e-06,0.797,128.89,-8.169,0.29,0.64,181360,0,soul
0.531,0.0134,9,1,0.0537,0.0,0.114,63.963,-21.313,0.978,0.31,169000,0,bluegrass
0.48,0.13,8,1,0.0289,0.000105,0.127,82.184,-15.977,0.548,0.448,157920,0,honky-tonk
0.406,0.354,7,1,0.0455,0.0,0.341,78.477,-8.701,0.233,0.58,245133,0,power-pop
0.269,0.893,7,1,0.0397,0.0,0.498,178.687,-3.595,0.00018,0.879,115466,0,power-pop
0.538,0.95,0,1,0.0527,0.0,0.963,109.796,-6.607,0.000697,0.802,84680,0,power-pop
0.393,0.991,1,0,0.193,3.21e-06,0.263,100.062,-4.52,5.17e-05,0.0547,80306,0,grindcore
0.463,0.981,11,1,0.0488,1.13e-05,0.348,110.005,-4.448,0.00018,0.693,129960,0,power-pop
0.326,0.978,6,1,0.158,1.17e-06,0.257,86.73,-4.566,0.000405,0.189,310640,0,metalcore
0.274,0.996,3,1,0.131,0.676,0.349,110.858,-1.348,0.000825,0.0357,56360,0,grindcore
0.222,0.986,2,1,0.0822,0.828,0.153,154.426,-9.135,0.0,0.0545,191226,0,black-metal
0.454,0.796,3,1,0.0311,0.00253,0.178,113.292,-7.999,0.000154,0.909,226600,0,power-pop
0.544,0.519,11,1,0.0278,0.499,0.186,119.962,-10.731,0.00432,0.0708,249000,0,idm
0.0848,0.991,11,0,0.0769,0.45,0.219,178.755,-8.197,0.00817,0.108,188772,0,black-metal
0.41,0.946,5,1,0.066,0.0,0.35,135.036,-3.776,0.00692,0.0781,240381,0,black-metal
0.353,0.539,0,0,0.0686,0.717,0.347,93.782,-14.21,0.0037,0.24,112626,0,grindcore
0.54,0.797,7,0,0.0617,0.165,0.12,128.291,-10.777,0.434,0.935,288933,0,afrobeat
0.625,0.594,7,1,0.0293,0.0,0.23,104.041,-5.279,0.323,0.609,169720,0,kids
0.427,0.764,8,1,0.0371,0.136,0.111,127.982,-5.461,9.69e-05,0.0355,205586,0,goth
0.549,0.957,2,1,0.0752,0.24,0.34,115.044,-5.38,0.00155,0.175,276600,0,goth
0.576,0.889,9,1,0.0425,0.597,0.237,119.982,-6.259,0.00125,0.217,368465,0,death-metal
0.361,0.974,11,0,0.235,0.364,0.376,112.296,-8.603,2.99e-05,0.237,255706,0,grindcore
0.64,0.487,4,1,0.0464,0.0,0.166,117.534,-14.023,0.546,0.907,143973,0,rockabilly
0.318,0.994,1,1,0.202,0.596,0.181,96.76,-3.291,1.05e-05,0.126,160133,0,grindcore
0.521,0.495,5,1,0.027,0.0,0.296,135.061,-7.756,0.128,0.116,339196,0,acoustic
0.567,0.957,6,1,0.057,5.7e-05,0.333,104.999,-4.154,3.13e-05,0.444,241114,0,death-metal
0.485,0.192,7,1,0.0571,0.0,0.109,137.418,-15.762,0.947,0.418,178266,0,honky-tonk
0.189,0.995,11,1,0.262,0.848,0.115,130.542,-5.835,8.25e-06,0.0385,58573,0,grindcore
0.301,0.422,4,1,0.029,0.0,0.0666,78.411,-7.561,0.62,0.208,258399,0,opera
0.527,0.934,8,1,0.0405,7.8e-06,0.132,138.95,-4.753,0.0103,0.469,301796,0,power-pop
0.595,0.582,1,1,0.0368,0.695,0.0914,87.002,-4.035,0.00235,0.0398,304437,0,drum-and-bass
0.183,0.793,7,1,0.0336,0.00303,0.104,89.238,-4.01,0.00197,0.163,369720,0,goth
0.279,0.938,8,1,0.129,0.77,0.0936,82.599,-5.974,0.000326,0.145,72678,0,grindcore
